,0
0,MasVnrType
1,LotConfig
2,GarageQual
3,Exterior1st
4,GarageFinish
5,HalfBath
6,MoSold
7,OverallCond
8,Electrical
9,BsmtQual
10,HouseStyle
11,SaleType
12,GarageCond
13,Foundation
14,BsmtFullBath
15,BsmtCond
16,HeatingQC
17,RoofStyle
18,CentralAir
19,BsmtExposure
20,OverallQual
21,KitchenAbvGr
22,LotShape
23,BsmtHalfBath
24,TotRmsAbvGrd
25,PavedDrive
26,LandSlope
27,PoolArea
28,FullBath
29,YrSold
30,MSZoning
31,Heating
32,Exterior2nd
33,MSSubClass
34,KitchenQual
35,BsmtFinType2
36,BsmtFinType1
37,Condition2
38,Condition1
39,GarageType
40,LandContour
41,RoofMatl
42,Neighborhood
43,Fireplaces
44,BedroomAbvGr
45,SaleCondition
46,BldgType
47,ExterQual
48,Functional
49,Street
50,ExterCond
51,GarageCars
